case,z,y,x,lung,delta,dc,fab,era
CT00000101,160,0,256,0.374859619140625,-1.8603727221488953,0.03716329485177994,0,1
CT00000101,160,64,0,0.4991943359375,-3.7846227642148733,0.048198577016592026,1,1
CT00000101,160,64,64,0.736749267578125,-0.36040227860212326,0.06849043071269989,1,0
CT00000101,160,64,256,0.878204345703125,-0.329528033034876,0.060582637786865234,0,1
CT00000101,160,128,0,0.634375,-3.4908782690763474,0.046585991978645325,0,0
CT00000101,160,128,64,0.93304443359375,0.25684063439257443,0.10756786167621613,0,0
CT00000101,160,128,128,0.728887939453125,-0.5613146349787712,0.043525125831365585,0,0
CT00000101,160,128,192,0.550714111328125,-0.5311085842549801,0.032378263771533966,1,3
CT00000101,160,128,256,1.0,1.0044050868600607,0.11909366399049759,2,2
CT00000101,160,192,64,0.801361083984375,-2.479870803654194,0.0536002591252327,0,0
CT00000101,160,192,128,0.376171875,-6.582418456673622,0.047253869473934174,0,2
CT00000101,160,192,192,0.23594970703125,-7.993750274181366,0.0538993775844574,0,0
CT00000101,160,192,256,0.6131103515625,-3.313463181257248,0.04344334825873375,1,0
CT00000101,200,128,0,0.210791015625,-2.6613909285515547,0.060395240783691406,0,1
CT00000101,200,128,128,0.3328857421875,-0.7529360591433942,0.04052849858999252,0,0
CT00000101,200,128,192,0.412982177734375,-0.8282950147986412,0.04324011132121086,2,0
CT00000101,200,128,256,0.529510498046875,0.25883910711854696,0.060971539467573166,1,0
CT00000101,200,192,64,0.608294677734375,-1.2496787821874022,0.04236794635653496,0,1
CT00000101,200,192,128,0.303277587890625,-4.920247942209244,0.04351324960589409,0,0
CT00000101,200,192,256,0.48662109375,-1.8058426212519407,0.040089961141347885,1,0
CT00000102,0,128,128,0.390008544921875,-10.903097689151764,0.08860016614198685,1,0
CT00000102,40,64,64,0.588470458984375,-5.71496831253171,0.08337685465812683,2,0
CT00000102,40,64,128,0.700726318359375,-2.602785127237439,0.06046281009912491,0,0
CT00000102,40,64,192,0.454248046875,-1.4687790535390377,0.04295441135764122,1,0
CT00000102,40,64,256,0.747802734375,-4.3605961836874485,0.08068051934242249,2,0
CT00000102,40,128,64,0.83929443359375,-4.641850013285875,0.0873226746916771,0,1
CT00000102,40,128,128,0.907659912109375,-0.234360370086506,0.056079503148794174,0,0
CT00000102,40,128,192,0.484027099609375,-4.793609958142042,0.04406076297163963,0,0
CT00000102,40,128,256,0.854937744140625,0.5268572713248432,0.10473961383104324,1,0
CT00000102,80,0,64,0.34576416015625,-1.9496746826916933,0.04947058856487274,0,0
CT00000102,80,0,128,0.399566650390625,-1.773995696566999,0.04179944097995758,0,0
CT00000102,80,0,192,0.243658447265625,-2.399696037173271,0.048730287700891495,1,0
CT00000102,80,0,256,0.351287841796875,-1.6126763075590134,0.04771411791443825,1,0
CT00000102,80,64,0,0.26806640625,-4.873847588896751,0.06880803406238556,1,0
CT00000102,80,64,64,0.993121337890625,1.100913155823946,0.16537778079509735,0,0
CT00000102,80,64,128,0.630474853515625,1.1237756116315722,0.051865097135305405,0,1
CT00000102,80,64,192,0.307379150390625,-0.5878001684322953,0.050923995673656464,0,0
CT00000102,80,64,256,0.986407470703125,1.6739756101742387,0.14080269634723663,0,1
CT00000102,80,128,0,0.24013671875,-6.452618166804314,0.0581977441906929,0,1
CT00000102,80,128,64,0.997198486328125,1.1033129412680864,0.16582155227661133,1,4
CT00000102,80,128,128,0.902825927734375,0.15497879940085113,0.06849902868270874,1,2
