CTHNet+流匹配(ours)_contrast,CTHNet+流匹配(ours)_mean,CTHNet+流匹配(ours)_peak,base_contrast,base_mean,base_peak,diameter_mm,ref_contrast,ref_mean,ref_peak,uid,up_contrast,up_mean,up_peak
332.835693359375,-452.414306640625,-130.375,319.2177429199219,-446.5322570800781,-211.75,5.06,656.6290283203125,-198.3709716796875,276.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,195.5380859375,-586.240234375,-404.1708984375
631.353271484375,-7.646730422973633,503.75,614.8350830078125,-29.16494369506836,415.25,6.97,1033.319580078125,323.81964111328125,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,433.801513671875,-125.67506408691406,456.5957336425781
193.7969512939453,-162.7030487060547,-5.91796875,204.40248107910156,-161.34751892089844,-5.91796875,9.25,314.9040222167969,-103.09598541259766,99.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,148.5253448486328,-254.5336151123047,24.96953582763672
548.491455078125,-157.00851440429688,90.75,557.375244140625,-153.12474060058594,90.75,13.14,645.618408203125,-123.3815689086914,309.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,383.39892578125,-227.1879425048828,61.01778793334961
224.54937744140625,-622.4506225585938,-33.84375,239.9979248046875,-610.0020751953125,-132.25,9.44,255.840087890625,-600.159912109375,-223.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,148.094970703125,-680.0220947265625,-494.42840576171875
494.63677978515625,-402.36322021484375,39.8125,494.0837097167969,-403.9162902832031,0.5,6.61,555.933837890625,-341.0661926269531,111.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,351.24139404296875,-542.1870727539062,-159.57949829101562
530.8429565429688,-370.15704345703125,-18.0,511.846435546875,-387.653564453125,-60.375,5.1,530.0076293945312,-352.49237060546875,60.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,256.77203369140625,-624.2831420898438,-372.44281005859375
452.1455078125,-253.8544921875,69.5625,474.4929504394531,-237.50704956054688,32.25,12.57,493.21490478515625,-233.7851104736328,125.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,315.4238586425781,-349.3078918457031,-30.10859489440918
740.5626220703125,52.06261444091797,394.25,712.199951171875,23.199928283691406,338.75,7.18,1178.65869140625,461.6586608886719,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,587.5260620117188,-72.27471160888672,404.794677734375
433.04461669921875,-194.7053680419922,98.25,417.3631591796875,-186.88682556152344,98.25,8.24,479.6099853515625,-132.3900146484375,81.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,157.28347778320312,-325.39166259765625,84.69524383544922
256.6838073730469,-214.56619262695312,-6.12109375,238.03819274902344,-217.08680725097656,-6.12109375,3.9,577.4361572265625,-36.0638313293457,165.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,151.70529174804688,-297.4173583984375,-60.61288070678711
403.5824279785156,-341.9175720214844,102.25,411.0294494628906,-331.4705505371094,72.5625,12.02,455.7100830078125,-314.7899169921875,456.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,312.9193420410156,-398.3820495605469,45.452293395996094
430.6475524902344,-410.3524475097656,87.3125,456.2214050292969,-384.2785949707031,44.625,7.42,483.4876708984375,-352.5123291015625,447.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,206.6964111328125,-576.2249755859375,-253.96141052246094
204.30841064453125,-587.6915893554688,-192.5,181.11883544921875,-589.3811645507812,-278.5,4.53,387.8770446777344,-424.1229553222656,376.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,97.2435302734375,-672.8184204101562,-469.3852233886719
245.195068359375,-524.554931640625,-92.6875,266.3148193359375,-518.6851806640625,-184.375,11.65,314.99102783203125,-486.00897216796875,85.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,161.16094970703125,-588.4492797851562,-323.549560546875
188.3634033203125,-606.1365966796875,0.6953125,190.859130859375,-601.140869140625,-99.0,12.8,215.830078125,-582.169921875,5.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,144.82440185546875,-633.5775756835938,-372.79827880859375
269.8065185546875,-555.1934814453125,32.34375,282.5546875,-545.9453125,-29.265625,14.63,301.65234375,-536.34765625,113.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,209.92510986328125,-592.7157592773438,-157.70266723632812
415.37274169921875,-371.87725830078125,67.375,444.16156005859375,-347.33843994140625,-17.703125,7.28,509.0392761230469,-293.9607238769531,97.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,219.13372802734375,-525.9580078125,-368.1039123535156
79.48992919921875,-760.5100708007812,-619.0,82.977294921875,-752.272705078125,-615.5,4.32,166.38385009765625,-670.6161499023438,-472.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,61.10601806640625,-747.9382934570312,-557.9024658203125
629.5630493164062,-119.18696594238281,337.75,630.9974975585938,-126.00251770019531,283.75,5.97,1039.9716796875,269.4717102050781,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,497.40625,-250.2421875,294.1746826171875
491.58135986328125,-233.6686248779297,206.625,516.19384765625,-233.80613708496094,167.0,5.09,854.044921875,56.5449104309082,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,433.78192138671875,-232.1043243408203,173.63616943359375
473.1196594238281,-333.8803405761719,13.015625,539.1822509765625,-287.3177185058594,-1.787109375,6.22,693.90478515625,-183.09524536132812,149.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,132.761474609375,-559.0377197265625,-328.2796936035156
351.863525390625,-515.886474609375,-20.09375,372.5395202636719,-494.9604797363281,-72.3125,8.09,382.8871765136719,-468.6128234863281,124.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,233.6043701171875,-602.73388671875,-234.17666625976562
404.6416931152344,-378.3583068847656,-25.25,401.70001220703125,-371.29998779296875,-11.4609375,5.53,560.214599609375,-233.78538513183594,38.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,244.80950927734375,-514.9251098632812,-283.6656799316406
416.5831604003906,-263.1668395996094,20.859375,445.0973205566406,-247.90267944335938,-20.46875,7.24,507.83575439453125,-191.16424560546875,65.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,285.16949462890625,-365.46014404296875,-135.85011291503906
277.4573974609375,-582.0426025390625,-11.2421875,298.63763427734375,-563.8623657226562,-57.0625,7.99,295.39306640625,-568.60693359375,-17.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,140.64544677734375,-686.8598022460938,-527.64990234375
578.7249755859375,-261.5250549316406,67.0625,580.200439453125,-261.2995910644531,56.34375,5.31,780.0189819335938,-79.48101043701172,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,299.68988037109375,-512.3565063476562,-108.34813690185547
253.45068359375,-247.54931640625,30.296875,271.54718017578125,-233.95281982421875,-6.44921875,8.37,384.769775390625,-188.23020935058594,138.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,159.48794555664062,-339.8038024902344,-141.636962890625
341.8410339355469,-284.6589660644531,-37.25,348.3362731933594,-293.6637268066406,-117.9375,5.13,472.0543518066406,-162.94564819335938,83.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,213.69491577148438,-429.6116638183594,-262.0971374511719
448.5980529785156,-144.40194702148438,95.5625,465.720947265625,-138.02903747558594,10.671875,6.43,520.7222290039062,-61.77777862548828,115.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,250.4970703125,-341.8270263671875,-110.76994323730469
222.16636657714844,-228.58363342285156,6.28515625,241.1483154296875,-236.4766845703125,6.28515625,4.68,443.76739501953125,-3.7326202392578125,238.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,139.96786499023438,-331.4030456542969,-94.21534729003906
344.14434814453125,-377.35565185546875,22.296875,338.2167053222656,-368.0332946777344,22.296875,4.58,461.021728515625,-236.47825622558594,126.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,214.65737915039062,-441.5951843261719,-16.237266540527344
